school_name,location,city,state,board,principal_phone,chairman_phone
"Delhi Public School","Sector 45","Gurgaon","Haryana","CBSE","9812345670","9123456001"
"St. Xavier’s High School","Andheri West","Mumbai","Maharashtra","ICSE","9820123456","9920123456"
"Lotus Valley International","Noida Expressway","Noida","Uttar Pradesh","CBSE","9810101010","9810101011"
"Ryan International","Vasant Kunj","New Delhi","Delhi","State Board","9811122233","9811122244"
"Kendriya Vidyalaya","Indiranagar","Bangalore","Karnataka","CBSE","9845012345",""
"Amity International School","Saket","New Delhi","Delhi","CBSE","9811234567","9811234568"
"The Doon School","Mall Road","Dehradun","Uttarakhand","IB","9412012345",""
"Bishop Westcott School","Namkum","Ranchi","Jharkhand","ICSE","9431122334","9431122335"
"Heritage School","Sector 62","Gurgaon","Haryana","CBSE","9812456789","9812456790"
"Modern School","Barakhamba Road","New Delhi","Delhi","CBSE","9811098765","9811098766"
"DPS RK Puram","Sector 12","New Delhi","Delhi","CBSE","9811144455","9811144466"
"Sanskriti School","Chanakyapuri","New Delhi","Delhi","CBSE","9811177788",""
"Mayo College","Srinagar Road","Ajmer","Rajasthan","CBSE","9414012345","9414054321"
"The Scindia School","Fort Gwalior","Gwalior","Madhya Pradesh","CBSE","9425012345",""
"La Martiniere College","Hazratganj","Lucknow","Uttar Pradesh","ICSE","9415012345","9415054321"
"Don Bosco School","Park Circus","Kolkata","West Bengal","ICSE","9830012345",""
"Campion School","Colaba","Mumbai","Maharashtra","ICSE","9820054321","9820012345"
"Cathedral & John Connon","Fort","Mumbai","Maharashtra","ICSE","9820198765",""
"Shree Ram School","Vasant Vihar","New Delhi","Delhi","IB","9811188899","9811188800"
"Indus International","Sarjapur","Bangalore","Karnataka","IB","9845112233","9845112244"
