school_name,location,city,state,board,principal_phone,chairman_phone
Delhi Public School,Sector 24,Gurugram,Haryana,CBSE,9810012345,9810054321
St. Xavier's High School,MG Road,Bengaluru,Karnataka,ICSE,9845012345,9845098765
Ryan International School,Malad West,Mumbai,Maharashtra,CBSE,9820034567,9820076543
Kendriya Vidyalaya No. 1,Bhopal Cantt,Bhopal,Madhya Pradesh,CBSE,7550012345,7550098765
The Heritage School,Sector 62,Noida,Uttar Pradesh,CBSE,9911023456,9911087654
Modern School,Barakhamba Road,New Delhi,Delhi,CBSE,9818045678,9818067890
Springdales School,Pusa Road,New Delhi,Delhi,CBSE,9871034567,9871056789
Bishop Cotton Boys' School,St Marks Road,Bengaluru,Karnataka,ICSE,9880023456,9880045678
La Martiniere College,Lalbagh,Lucknow,Uttar Pradesh,ISC,7390012345,7390034567
Podar International School,Santacruz,Mumbai,Maharashtra,CBSE,9821045678,9821067890
Bal Bharati Public School,Pitampura,New Delhi,Delhi,CBSE,9899012345,9899034567
G.D. Goenka Public School,Vasant Kunj,New Delhi,Delhi,CBSE,9810078901,9810090123
Scindia School,Fort Campus,Gwalior,Madhya Pradesh,CBSE,7510023456,7510045678
Mayo College,Ajmer Road,Ajmer,Rajasthan,CBSE,9414012345,9414034567
The Doon School,Chandbagh,Dehradun,Uttarakhand,ISC,9410056789,9410078901
Amity International School,Sector 44,Noida,Uttar Pradesh,CBSE,9958012345,9958034567
Cambridge School,Srinivaspuri,New Delhi,Delhi,ICSE,9810090123,9810012345
Sanskriti School,Dr. S. R. Das Marg,New Delhi,Delhi,CBSE,9868012345,9868034567
Vibgyor High School,Goregaon,Mumbai,Maharashtra,ICSE,9820090123,9820012345
National Public School,Indiranagar,Bengaluru,Karnataka,CBSE,9845034567,9845056789
Greenwood High School,Sarjapur Road,Bengaluru,Karnataka,ICSE,9900012345,9900034567
Indus International School,Whitefield,Bengaluru,Karnataka,IB,9880056789,9880078901
Emerald Heights School,AB Road,Indore,Madhya Pradesh,CBSE,7310012345,7310034567
Choithram School,Manik Bagh Road,Indore,Madhya Pradesh,CBSE,7310056789,7310078901
Seth M.R. Jaipuria School,Gomti Nagar,Lucknow,Uttar Pradesh,CBSE,7390056789,7390078901
City Montessori School,Aliganj,Lucknow,Uttar Pradesh,ISC,7390090123,7390012345
Sunbeam School,Lanka,Varanasi,Uttar Pradesh,CBSE,9450012345,9450034567
Central Academy,Jodhpur Road,Jodhpur,Rajasthan,CBSE,9414056789,9414078901
Maharaja Sawai Man Singh Vidyalaya,C-Scheme,Jaipur,Rajasthan,CBSE,9414090123,9414012345
Jayshree Periwal High School,Mahapura,Jaipur,Rajasthan,CBSE,9413012345,9413034567
DAV Public School,Sector 14,Chandigarh,Chandigarh,CBSE,9814012345,9814034567
St. John's High School,Sector 26,Chandigarh,Chandigarh,ICSE,9815012345,9815034567
Vivek High School,Sector 38,Chandigarh,Chandigarh,CBSE,9876012345,9876034567
Don Bosco School,Park Circus,Kolkata,West Bengal,ICSE,9830012345,9830034567
South Point School,Mandeville Gardens,Kolkata,West Bengal,ISC,9831012345,9831034567
The Heritage Academy,Anandapur,Kolkata,West Bengal,CBSE,9832012345,9832034567
Loyola School,Wellington,Jamshedpur,Jharkhand,ICSE,9431012345,9431034567
DPS Bokaro,Sector 4,Bokaro,Jharkhand,CBSE,9431056789,9431078901
Sacred Heart School,Church Road,Jamshedpur,Jharkhand,CBSE,9430012345,9430034567
DAV Model School,Sector 15A,Faridabad,Haryana,CBSE,9811012345,9811034567
The Shri Ram School,DLF Phase IV,Gurugram,Haryana,CBSE,9810034567,9810056789
Pathways School,Aravalli Campus,Gurugram,Haryana,IB,9899056789,9899078901
Orchids International School,Hinjewadi,Pune,Maharashtra,CBSE,9822012345,9822034567
The Bishop's School,Camp,Pune,Maharashtra,ICSE,9823012345,9823034567
Symbiosis School,Prabhat Road,Pune,Maharashtra,CBSE,9881012345,9881034567
Eklavya Model School,Station Road,Bhopal,Madhya Pradesh,State,7560012345,7560034567
Christ Church School,Jabalpur Cantt,Jabalpur,Madhya Pradesh,ICSE,7610012345,7610034567
St. Xavier's School,Civil Lines,Raipur,Chhattisgarh,CBSE,7710012345,7710034567
Delhi Public School,Rau,Indore,Madhya Pradesh,CBSE,7310090123,7310012345
Rajkumar College,Rajkot Road,Rajkot,Gujarat,CBSE,9824012345,9824034567
